date,title,url
2023-11-27T00:00:00Z,Mines Ministry to Organise Outreach Programme on Global Action on Critical Minerals,https://www.pib.gov.in/PressReleseDetail.aspx?PRID=1980159
2023-08-02T00:00:00Z,Steps being taken by the Government for becoming self-reliant in critical minerals,https://www.pib.gov.in/PressReleseDetail.aspx?PRID=1944961
2023-07-31T00:00:00Z,EFFORTS FOR UNINTERRUPTED SUPPLY OF CRITICAL MINERALS,https://www.pib.gov.in/PressReleseDetail.aspx?PRID=1944303
2023-07-24T00:00:00Z,Thirty Critical Minerals List Released,https://www.pib.gov.in/PressReleseDetail.aspx?PRID=1942027
2023-06-28T00:00:00Z,Union Minister Pralhad Joshi unveils List of “Critical Minerals for India”,https://www.pib.gov.in/PressReleseDetail.aspx?PRID=1936083
2023-06-27T00:00:00Z,Mines Ministry to Unveil “List of Critical Minerals for India”,https://www.pib.gov.in/PressReleseDetail.aspx?PRID=1935587
2023-04-02T00:00:00Z,G20 – ENERGY TRANSITION WORKING GROUP MEETING – GANDHINAGAR; Side event on ‘Diversifying Renewables & Critical Minerals Supply Chains to Advance Energy Transition’ tomorrow,https://www.pib.gov.in/PressReleseDetail.aspx?PRID=1913118
2023-03-11T00:00:00Z,Milestone in India and Australia reach Critical Minerals Investment Partnership,https://www.pib.gov.in/PressReleseDetail.aspx?PRID=1905863
2022-12-21T00:00:00Z,Demand For Critical Minerals to Increase,https://www.pib.gov.in/PressReleseDetail.aspx?PRID=1885378
2019-08-01T00:00:00Z,KABIL Set up to Ensure Supply of Critical Minerals,https://www.pib.gov.in/PressReleseDetail.aspx?PRID=1581058
